sno,name,description,cuisine,diet,prep_time (in mins),cook_time (in mins),instructions,image_url
21,Kohlrabi (Knol Khol Poriyal),Kohlrabi is commonly called as German kohl most popular in german speaking countries.,Indian,Vegetarian,10,15,"To begin making the Kohlrabi recipe, take kohlrabi and peel the outer fibrous part and cut into small squares.Heat oil in a heavy bottomed pan. When heated, add cumin seeds and mustard seeds. When they splutter, add a teaspoon of black urad dal.Saute until the dal tuurns brown. Now add in curry leaves, dry red chillies and turmeric powder.�After 1 minute, add sliced onions and fry till the onion becomes soft.Add tomato slices and cook till they become little soft. Add fresh peas followed by kohlrabi slices and mix everything.Now close the lid and cook for some more time mixing at regular intervalsAdd spices - coriander powder, red chilli powder and salt as per taste.Add dry dessicated coconut, mix everything and cook for few minutes by closing lid.Cook till kohlrabi slices become soft. Turn off the heat and garnish with coriander leaves.�Serve Kohlrabi along with�Dal Tadka�and�Steamed Rice�for a weekday meal with your family.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/neetha2687-gmail.com/kohl_rabiNol_khol_curry.jpg
22,5 Grain Greek Yogurt Fruit Parfait,"The nutrichoice 5 grain digestive are packed with the goodness of wheat, corn, rice, oats, ragi and honey adding to the fibre and giving a surplus dose of energy to the parfait.",Continental,High Protein Vegetarian,15,0,"To begin making the�5 Grain Greek Yogurt Fruit Parfait, first prep all the ingredients and keep it ready.Pulse the NutriChoice 5 Grain Digestive Biscuits in a mixer to make coarse crumbs and keep aside.Whisk the greek yogurt with honey and keep aside.Slice the seasoning fruits and keep aside.To assemble the 5 Grain Greek Yogurt Fruit Parfait, into a jar,�spoon the crumbled NutriChoice 5 grain digestive biscuits.Add 3 tablespoons greek yogurt,��layer with seasonal fruits, top it with a tablespoons of chia seeds, some more�greek yogurt and finally sprinkle biscuit crumble on top.The�5 Grain Greek Yogurt Fruit Parfait is now ready. Refrigerate it for at least 2 hours before serving.Serve the�5 Grain Greek Yogurt Fruit Parfait as a snack for your office or an evening snack at home.You can also serve the�5 Grain Greek Yogurt Fruit Parfait for breakfast along with Indian Style Masala Omelette Grilled Sandwich�for a wholesome breakfast.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/5_Grain_Greek_Yogurt_Fruit_Parfait_Recipe_full_1600.jpg
23,Malvani Kala Chana Masala - Spicy Kala Chana Curry,The Malvani Chana Masala is a delicious kala chana curry made by roasting the fresh spices and cooked in spicy tamarind gravy.,Maharashtrian Recipes,Vegetarian,10,30,"To begin making the Malvani Chana Masala Recipe, we will first keep the ingredients ready for the malvani masala.Preheat a pan over medium heat; add the spices for the malvani masala into the pan and roast for about a minute until you can smell the aromas coming through. You will also notice the spices change color, as they are getting roasted.Once roasted, allow the spices to cool.�Once cooled, blend them into a smooth powder and keep aside.In the meantime pressure cook the soaked chana for at least 6 to 10 whistle or for 25 minutes in a pressure cooker along with 3 cups of water and salt to taste. Turn off the heat and allow the pressure to release naturally.Once the kala chana is cooked, take out about 1/4 cup of cooked chana and blend it in a mixer to a coarse paste.�This is done to give a thick texture to the Malvani kala chana gravy.Once the chana is blended, keep it aside.Heat oil in a kadai over medium heat; add mustard seeds and cumin seeds and allow it to crackle for few seconds.Add chopped garlic and sauté till they soften. Add in the powdered Malvani masala onto the kadai and stir fry for a few seconds.��Stir in the ground kala chana masala paste, the cooked chana masala,�tamarind water, jaggery and cream and give it a stir.Check the salt and spices and adjust to taste accordingly. Add water if required to give the Malvani Kala Chana Masala a curry like consistency.Bring the�Malvani Kala Chana Masala to a brisk boil. Turn the heat to low and simmer the masala for about 5 minutes so the masalas get well incorporated into the�Kala Chana.Once done, turn off the heat and transfer the�Malvani Kala Chana Masala to a serving bowl and serve hot.Serve the�Malvani Chana�Masala Recipe�along with�Malabar Parotta,�Steamed Rice,�Beetroot, Carrot & Cucumber Salad with Peanuts�for lunch or dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Malvani_Channa_Masala_Recipe_1600.jpg
24,Mangalorean Manoli Curry - Indian Gherkins Curry,The�Mangalorean Manoli Curry Recipe is a traditional curry from the Mangalorean Cusine in Karnataka.,Mangalorean,Diabetic Friendly,15,30,"To begin making the�Mangalorean Manoli Curry Recipe; we will first steam cook the Manoli. You can use a pressure cooker or a steamer to cook it. Precooking the Manoli (Indian Gherkins) makes the cooking process faster and more nutritious too.I like to use a pressure cooker for steaming the vegetables. To do this, place the cut Manoli (Indian Gherkins) along with a pinch of salt and 2 tablespoons of water into the pressure cooker.Cover the pan, place the weight on and allow the vegetable to cook in the pressure cooker until you hear two whistles. �After a whistle, turn off the heat and you can place the pressure cooker under running water to release the pressure immediately. Releasing the pressure immediately, helps retain the fresh green color of the Gherkins and also gives it a perfectly cooked texture.Click here to watch the video of how to cook vegetables in a pressure cooker.Our next step is to make the Manoli Curry Masala.�In a small pan; roast the dry red chillies, fenugreek, coriander, cumin and black pepper until you can smell the roasted aromas. Add these to a small blender jar, along with the coconut, tamarind and turmeric powder.Grind the spices adding very little water to make a smooth curry paste. The Manoli curry paste is now ready. Keep aside.In the next step; heat a teaspoon of oil in a pan; add the chopped onions, and saute for a couple of minutes until the onions are soft and tender. Add the curry paste and saute for a couple of more minutes.Stir in the steamed gherkins, salt and add about 1-1/2 to 2 cups of water. You essentially want a thick gravy for the Manoli Curry; hence add water accordingly.�Give all the ingredients a good stir. Check the salt levels and adjust to suit your taste. Give the mixture a quick boil only when you are ready to serve.�Serve the�Mangalorean Manoli Curry Recipe�along with�Whole Wheat Lachha Paratha�and�Tomato Onion Cucumber Raita�for an everyday meal.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/Mangalorean_Manoli_Curry_Recipe_Indian_Gherkins_Tendley_Donadaikkai_Kovaikkai-3.jpg
25,Broccoli Salad with Roasted Onion & Peppers,Broccoli Salad Recipe with Roasted Onion & Peppers is a warm salad where the vegetables are pan roasted to get a slightly charred flavour that adds to the overall taste of the salad.,Continental,High Protein Vegetarian,10,10,"To begin making the Broccoli Salad Recipe with Roasted Onion &�Peppers, cut the vegetables and make the harissa sauce and keep it ready.You can either use store bought harissa sauce or make it home, using this recipe�Homemade Harissa Paste RecipeHeat a wok on high heat, add in the broccoli, onions yellow and red bell peppers. Cook them on high heat and stir continuously for 5-7 minutes until lightly tender.We want the vegetables to be cooked yet crunchy. Turn off the flame. Transfer the�Broccoli and Roasted Onion &�Peppers to a mixing bowl and set aside.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Broccoli_Salad_with_Roasted_Onion__Peppers_Recipe.jpg
26,Goan Style Mushroom Vindaloo,Goan Style Mushroom Vindaloo Recipe is a variation of the classic Goan Pork Vindaloo recipe.,Goan Recipes,Vegetarian,20,30,"To begin making the Goan Style Mushroom Vindaloo, first prep all the ingredients, and get all the spices together.The next step is to roast the masala for the vindaloo.Heat a small skillet over medium heat; add all the ingredients to be ground into a paste and roast them for a few minutes until you get a roasted aroma and the red chilies are lightly crisp.Turn off the heat, allow it to cool a bit and grind into a fine powder.Pound the ginger and garlic in a pestle and motor and keep aside.Heat oil in a pan; add the ginger garlic paste and saute for a few seconds. Add the chopped onions and saute until the onions are tender.Add the turmeric powder, the ground spice powder, the mushrooms. Add the salt, cover the pan and simmer for 10 minutes until the mushrooms are cooked.Once done, open the pan, and allow the vindaloo masala to thicken, but evaporating any excess liquid. Turn off the heat and serve warm.Serve the Goan Style Mushroom Vindaloo along with steamed rice or even lachha paratha for lunch.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/sept-26/Goan_Style_Mushroom_Vindaloo_Recipe-1.jpg
27,Hare Tamatar Ki Sabzi - Raw Tomato Curry ,"Hare Tamatar Ki Sabzi is a spicy tangy, delicious side dish that comes from North Indian cuisines.",Indian,Vegan,10,30,"To begin making the Hare Tamatar Ki Sabzi, heat oil in a wok/kadhai and add hing, mustard and cumin seeds and wait till they crackle.Now add chopped raw tomatoes, green chilies and mix well. Allow them to cook in high flames till moisture evaporates and the tomatoes start turning soggy. This will take about 3 minutes.Add salt, red chilli powder, coriander powder, turmeric powder, cumin powder and garam masala powder.Mix everything properly and let them cook for few minutes on low heat with lid closed.Slowly the tomatoes will turn mushy and oil will start leaving sides.Turn on the heat high and cook the sabji till it reaches the desired consistency.Add some crushed kasuri methi, remove from stove and serve hot.�Serve�Raw Tomato Curry�with�Pudina Tawa Paratha,�Boondi Raita�and�Panchmel Dal�for a comforting and tasty meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/RAW_TOMATO_SABJI_NO_ONION_NO_GARLIC.jpg
28,Thengai Poornam Kozhukattai / Ukadiche Modak With Rice Flour,Thengai Poornam Kozhukattai / Ukadiche Modak Recipe is a very festive sweet that is made for Lord Ganesha's Birthday also known as Vinayaka or Ganesh Chaturthi that is observed in the month of August - September.,Maharashtrian Recipes,Vegetarian,10,30,"In a heavy bottomed saucepan; combine all the ingredients for the filling and place it on high heat until the jaggery is dissolved completely.Once the jaggery dissolves, turn the heat to medium and keep stirring until the mixture thickens and the water begins to evaporate.It takes about 7-10 minutes for the water to evaporate. Towards the end you will notice the mixtures comes together, with all the water evaporated. The coconut filling will now look like sticky mixture.At this stage, turn off the heat and transfer the mixture to another bowl to cool. Once cool divide the mixture into 10-15 equal portions. This will be the sweet filling for the modak wrapper.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Thenga_Poornam_Kuzhakattai_Preethi_Electric_Pressure_Cooker-6.jpg
29,Cauliflower Curry With Bell Peppers And Carrots In Spiced Milk Gravy,Cauliflower Curry with Bell Peppers and Carrots is simmered in a in spiced milk gravy is simple and quick to make for those busy weeknight dinners.,Indian,Vegetarian,30,40,"To prepare Cauliflower Curry with Bell Peppers and Carrots in Spiced Milk Gravy, heat oil in a heavy bottomed pan; add in the cumin seeds and allow it to crackle. Once it does, add in the bell peppers and onions, saute until tender.Once tender, stir in the cardamom pods, tomato puree, turmeric powder, cumin powder, garam masala powder, red chilli powder. Saute until the tomatoes starts to bubble. Stir in the milk mixture and the steamed vegetables. Turn the heat to low, cover the pan and simmer for a about 5 minutes.Turn off the heat, stir in the chopped coriander leaves and serve Cauliflower Curry with Bell Peppers and Carrots in Spiced Milk Gravy�hot with phulkas.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/cauliflower-curry-with-bell-peppers-and-carrots-in-spiced-milk-gravy.jpg
30,Raw Banana and Bhindi Sabzi - Raw Banana & Ladies Finger Stir Fry,Kaccha Kela Aur Bhindi Ki Sabzi Recipe�is an ayurvedic friendly recipe without onion and garlic.,North Indian Recipes,Diabetic Friendly,10,30,"To begin making the Kaccha Kela Aur Bhindi Ki Sabzi Recipe, we will pre cook the raw banana.Firstly, peel and cut the raw banana and keep it aside.�In a pressure cooker combine, add the chopped raw banana with half cup of water, turmeric powder and salt. Cover and pressure cook for 3 whistles and turn off the heat.Once done, open the pressure cooker and allow the banana to cool and keep it aside.Heat oil in a heavy bottomed pan. Add cumin seeds, asafoetida and let the cumin seeds crackle.�Once it crackles, add in the ladies finger, sprinkle little salt and saute till they soften and get cooked through. You can cover it and cook as it will cook faster.This will take about 10 minutes. Once the bhindi is cooked, add in the cooked raw banana, amchur powder, pepper powder, red chilli powder, coriander powder, garam masala powder and saute till the masala is well coated with the masala - about 4 to 5 minutes and turn off the heat.After 4 to 5 minutes, transfer the�Kaccha Kela Aur Bhindi Ki Sabzi to a serving bowl and garnish it with coriander leaves.Serve the�Kaccha Kela Aur Bhindi Ki Sabzi Recipe�along with�Gujarati Dal,�Lauki Raita�and�Phulka�to enjoy a good weekday meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Raw_Banana_Bhindi_Sabzi_Recipe_SSP_Step_by_Step_31_1600.jpg
31,Tomato Basil Pasta And Pizza Sauce,Tomato Basil Pasta Sauce is simple to make at home and also gets ready in no time.,Italian Recipes,Vegetarian,10,30,"To begin making the Tomato Basil Pasta and Pizza Sauce Recipe, first boil the tomatoes with required water in a saucepan. Once you see the tomato skin peeling, switch off the heat.saucWhen the skins has peeled you know the tomatoes are ready. Peel the skin off the tomatoes, remove the core of the tomato and roughly chop them.Do keep all the juices the tomatoes release, this will add body to the tomato sauce. Keep the chopped tomatoes aside.In a large saucepan, heat the olive oil over medium heat. Add the chopped garlic and onions. Stir for a few seconds until it begins to sizzle in the oil and the onions soften.At this stage, add in the chopped tomatoes and the roughly chopped basil leaves, some salt, sugar, black pepper corns and stir to combine well.We will now use a hand blender to coarsely puree the ingredients together to get a saucy texture.Cover the pan with the lid slightly ajar and simmer the mixture for 20 to 30 minutes until the sauce is thick.Keeping the lid slightly ajar helps to thicken the sauce by evaporating the excess water.Use the delicious fresh Tomato Basil Sauce for Pastas and Pizzas�in any other Gourmet Dish like�Pasta�of your choice.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/1-Archana/Tomato_Basil_Pasta_and_Pizza_Sauce_Recipe-1.jpg
32,Andhra Style Vankaya Kothimeera Karam - Brinjal Cooked With Spicy Coriander Mix,Vankaya Kothimeera Karam recipe is a classic Andhra style brinjal cooked in a very aromatic spicy coriander masala.�,Andhra,Vegetarian,10,20,"To begin making the Vankaya Kothimeera Karam recipe, wash and cut the brinjals in long strips and keep it immersed in salt water. This helps in avoiding the brinjals to turn black.Now, add all the ingredients mentioned in the coriander masala table into a blender and make a smooth paste and keep aside.Heat oil in a heavy bottomed pan on medium flame, add the mustard seeds, urad dal and let it splutter.Add the dried red chillies and curry leaves and let it crackle.Now, add the slit brinjals and sauté until it wilts a little.Cook the brinjal until it is half done. This will take 10 minutes.Now, add the spicy coriander masala mix to the brinjals, season with salt, toss well, and let it simmer for 10 minutes.Once the brinjals are well cooked, turn off the heat. Transfer Vankaya Kothimeera Karam into a serving bowl and serve hot.�Serve Vankaya Kothimeera Karam along with�Tomato Onion Sambar�and steamed rice with a dollop of ghee doe a weeknight dinner.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/25-jan/Vankaya_Kothimeera_Karam_Recipe_Andhra_Style_Brinjals_Cooked_With_Spicy_Coriander_Mix-5.jpg
33,Kottambari Tambuli - Udupi Style Raw Coriander Kadhi,Tambuli's are a summer coolers from the Udupi region of Karnataka and Kottambari Tambuli Recipe (Udupi Style Raw Coriander Kadhi) is a delicious variant.,Udupi,Vegetarian,10,5,"To begin making�Kottambari Tambuli Recipe, whisk the yogurt to smooth consistency in a big bowl. Add about 3 cups of water, mix well and keep aside.Heat a teaspoon of oil in a small kadai, add the cumin seeds and let it splutter.Once they splutter, add the green chilli, coriander leaves and fry for a minute.Once cool, grind it to a smooth paste along with the grated coconut using a mixer grinder adding little water.Add this ground coriander mixture to the yogurt mixture and mix well. Add water to your desired consistency and season with salt.Now, to prepare the tadka, in a small tadka pan, heat the remaining oil, and add the mustard seeds once the oil is hot.Once they splutter, add the urad dal and stir a bit. Once they are golden in color and are fried, add the hing, dry red chilli, and stir.Once the hing seizes sizzling, switch off heat and pour this tadka over the Kottambari Tambuli.�Serve the�Kottambari Tambuli Recipe�(Udupi Style Raw Coriander Kadhi) along with�Steamed Rice,�Udupi Style Bende Kayi Palya Recipe�or�Spicy Potato Roast Recipe�and�Karnataka Style Aralu Sandige Recipe�for a simple summer weekday lunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Kottambari_Tambuli_Recipe_Udupi_Style_Raw_Coriander_Kadhi.jpg
34,Potato Roulade,Potato Roulade Recipe is a savoury appetizer that is made from a pie crust and is filled in with potatoes that are tossed in with mildly flavoured seasonings.,French,Vegetarian,30,30,"To begin making the potato roulade heat olive oil in a pan over medium heat. Add the chopped garlic and saute for a few seconds.Add the boiled potatoes, paneer, pesto, salt and chilli flakes. Stir fry until the potatoes are well coated with the pesto. Turn off the heat.Pre make the pastry crust according to instructions. Divide into four small portions.Roll the pastry dough into a 6 inch diameter circle. Add the potato filling in the center and fold the roulade into a cylinder and seal the edges.Make slits in the center to create air pockets for the Potato Roulade to bake. �Brush the crust of the roulade with egg whites and place on a greased baking sheet.Preheat the oven to 180 C and bake the Potato Roulade in the oven until golden brown and crisp.Serve the Potato Roulade along with the powerful sweet scented�Koge Jasmine Green Tea. It makes a perfect tea and snack combination for your tea parties.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Potato_Roulade_Recipe.jpg
35,Mexican Vegetarian Bean & Cheese Enchiladas,The Bean and Cheese Enchiladas is a Mexican dish where the tortillas rolled around a bean filling and covered with a chili pepper sauce.,Mexican,Vegetarian,10,90,"To begin making the Mexican Bean Vegetarian Enchiladas Recipe, we will first preheat oven to 180 CHeat oil in a large skillet over medium heat. Add onions and garlic and saute 2 minutes. Saute until golden brown and cooked through. Add the 1/2 cup of the�Mexican�salsa sauce, the cooked�beans�and the parsley leaves and give the sauce a boil for about 5 minutes.Once done, keep the bean filling aside.Spread 1/2 cup�Mexican�salsa sauce in the bottom of a 13 x 9-inch glass or ceramic baking dish.Spoon 3 tablespoons bean mixture down center of each tortilla and roll up. Place, seam-side down, in prepared dish of sauce. Proceed the same way with the remaining tortillas. Pour remaining Mexican�salsa sauce over filled tortillas.�Sprinkle a generous amount of cheese over the filled bean tortillas.Place the bean enchiladas in the preheated oven and bake in the oven for 15 minutes, until cheese is golden and gooey!Once the done, remove from the oven. Serve the Mexican Vegetarian Bean & Cheese Enchiladas�along with sour cream sprinkled with spring onion leaves.Serve the�Bean and Cheese Enchiladas recipe along with�Red Wine Sangria Cocktail Recipe�followed by a dessert of�Chocolate And Salted Caramel Tart Recipe",https://www.archanaskitchen.com/images/archanaskitchen/World_Mexican/Mexican_Vegetarian_Bean_Cheese_Enchiladas_Recipe.jpg
36,Homemade Sambar Powder-South Indian Curry Powder,The Homemade Sambar Powder is the most basic and important ingredient in making ��Sambar��.,South Indian Recipes,,10,30,"To begin making the Sambar Powder Recipe, we will first dry roast all the ingredients. Roast the�Roast the�toor�dal, urad and chana dal all�separately�in a pan over medium heat until they turn light brown in color and release a roasted aroma. Set aside. Make sure you roast each one of them separately, as they take different times to get roasted well.Next, roast fenugreek seeds,�coriander�seeds, mustard seeds, black�peppercorns�and cumin seeds until they changed color and release a roasted aroma. Set aside to cool.�Now blend all the roasted ingredients into a fine powder. Combine the red chilli powder and turmeric powder well into the ground mixture.The Sambar�Powder is now ready to used in a variety of recipes.Store the Sambar�Powder an�air tight�container and refrigerate/freeze for longer freshness and shelf life.",https://www.archanaskitchen.com/images/archanaskitchen/BasicRecipes_Spice_Powders/Homemade_Sambar_Powder_Video_Recipe-4.jpg
37,Andhra Style Tomato Cauliflower Koora,Andhra Style Tomato Cauliflower Koora is a simple recipe made with a tomato and onion gravy that is spiced up with simple masala garam masala powder and red chilli powder.,Andhra,Vegetarian,10,30,"To begin making the Andhra Style Tomato Cauliflower Koora Recipe, firstly pressure cook the cauliflower and potato with 1 cup water, salt in a pressure cooker for 1 whistle and switch it off.Leave it aside to release the pressure by itself. Heat a kadai with oil, add mustard seeds and allow it to splutter for few seconds.Add the curry leaves and crackle them for 10 more seconds. Next, add chopped onions, green chilli and garlic. Saute the onions till the onion turn translucent.Once the onions are soft and translucent, add tomatoes, a pinch of salt and saute until the tomatoes become mushy and the raw smell goes away. Add the cooked cauliflower and potato into the kadai.Add the spice powder like the garam masala, red chilli powder, coriander powder, turmeric powder and mix everything well. Cover it with a lid and cook for 2 more minutes.Open the lid check for salt and season it according to your palate.�Serve the�Andhra Style Tomato Cauliflower Koora�along with�Tawa Paratha,�Dal Palak Recipe�and�Raita�of your choice to enjoy your everyday meals.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Tomato_Cauliflower_Koora_.jpg
38,Andhra Style Davva Aava koora (Sweet and Spicy Banana Stem Peanut Curry) ,Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe) is an Indian curry made from Banana stem and crunchy peanuts tossed in sweet and spicy Andhra style gravy.,Andhra,Vegetarian,15,30,"We begin making the Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe) by heating the pressure cooker with oil, roast the bay leaf and splutter the mustard seeds and fenugreek seeds.Then add the curry leaves, add in the smashed garlic, add the small onions and saute till it is translucent.Once done you can add the chopped tomatoes and saute till it is smashed. Add all the spice powders and sugar give it a toss.Finally add the banana stem and peanuts inside the pressure cooker with 1 cup water for about 2 whistle. Release the pressure naturally.In order to temper, heat a small skillet and splutter urad dal, channa dal and dry red chilli and add it to the gravy and give it a stir.�Serve the Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe) with steam rice or with�Chapathi�to enjoy your�Lunch meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Davva_Aava_koora_Recipe_Sweet_and_Spicy_Banana_Stem_Peanut_Curry_Recipe_.jpg
39,Rawalpindi Style Chole,Rawalpindi Style Chole is a dish made with chickpeas which belongs to the Rawalpindi region in Pakistan.,Punjabi,High Protein Vegetarian,10,45,"To begin making the Rawalpindi Style Chole recipe, firstly soak the chickpeas in water overnight or for about 6-7 hours.After soaking, pressure cook the chickpeas�in cooker by adding 1/4 teaspoon salt and a tea bag. Pressure cook for 8 to 10 whistles.After pressure cooking, discard the tea bag, drain and retain water in which the chickpeas were pressure cooked. Slightly mash half of the boiled chickpeas and keep them aside.Dry roast the coriander seeds and pomegranate seeds. After cooling, add them to a grinder and powder them. Keep it aside.Heat a kadhai� and add ghee. When ghee gets melted, add cumin seeds and let them crackle.After the cumin seeds crackle, add onion and fry till onion turns pinkish. Crush the garlic and ginger using mortar pestle and make a paste.Add this to the onion in the kadhai and saute till the raw smell of garlic goes away. Add green chili and saute for a few seconds.Now add tomato and saute till tomato turns mushy. Once the tomatoes are soft add turmeric powder, red chili powder, cumin powder, dry mango powder and garam masala,the ground coriander seeds powder and anardana powder. Mix well t o combine. Add boiled chickpeas, salt to taste and 1 cup of the retained water left after boiling the chickpeas.�Bring the pindi chole to a brisk boil and simmer for some time. After the gravy thickens turn off the heat.Transfer the Rawalpindi chole to a serving bowl and keep aside.Serve�Rawalpindi Style Chole Recipe�with�Puri�and�Burani Raita�for a perfect Weekend breakfast or lunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Rawalpindi_Style_Pindi_Chole.jpg
40,Barley & Roasted Vegetable Skillet Salad- Mediterranean Style,Barley & Roasted Vegetable Skillet Salad is a wholesome salad that is made from barley and flavored with olives and basil.,Mediterranean,Diabetic Friendly,15,40,"To begin making the Barley & Roasted Vegetable Skillet Salad, soak the barley for a couple of hours in 2 cups of water.Place the barley along with the soaked water in the pressure cooker. Pressure cook for two to three whistles until��done.If there is excess water after cooking the barley, drain it out. Allow the barley to cool. Transfer the cooled barley to a large mixing bowl.Heat oil in a wok, add the garlic, carrots and bell peppers. Sprinkle some salt and stir fry on medium high heat until the bell peppers and carrots have softened.Add the roasted vegetables, olives, corn, cinnamon, salt and pepper to the barley. Give it a good stir.Check the salt and spices and adjust to suit your taste and serve warm.Serve the Barley & Roasted Vegetable Skillet Salad for a wholesome lunch along with�Roasted Carrot Hummus Falafel Wrap Recipe�and�Cucumber Honey Limeade Recipe.",https://www.archanaskitchen.com/images/archanaskitchen/World_Salads/Barley_Roasted_Vegetable_Mediterranean_Skillet_Salad-2.jpg
